julia version 1.10.5
Starting optimization with optimizer DiffEvoOpt{FitPopulation{Float64}, RadiusLimitedSelector, BlackBoxOptim.AdaptiveDiffEvoRandBin{3}, RandomBound{ContinuousRectSearchSpace}}
0.00 secs, 0 evals, 0 steps
1376.61 secs, 2444 evals, 2373 steps, improv/step: 0.313 (last = 0.1429), fitness=1.467847551
1385.15 secs, 2446 evals, 2375 steps, improv/step: 0.313 (last = 0.5000), fitness=1.467847551
1392.20 secs, 2447 evals, 2376 steps, improv/step: 0.314 (last = 1.0000), fitness=1.467847551
1400.10 secs, 2449 evals, 2378 steps, improv/step: 0.314 (last = 0.5000), fitness=1.467847551
1408.58 secs, 2457 evals, 2386 steps, improv/step: 0.313 (last = 0.2500), fitness=1.467847551
1416.78 secs, 2464 evals, 2393 steps, improv/step: 0.313 (last = 0.2857), fitness=1.467847551
1425.01 secs, 2466 evals, 2395 steps, improv/step: 0.314 (last = 0.5000), fitness=1.467847551
1433.88 secs, 2468 evals, 2397 steps, improv/step: 0.314 (last = 0.5000), fitness=1.467847551
1441.05 secs, 2472 evals, 2401 steps, improv/step: 0.314 (last = 0.2500), fitness=1.467847551
1448.00 secs, 2473 evals, 2402 steps, improv/step: 0.314 (last = 1.0000), fitness=1.467847551
1455.95 secs, 2477 evals, 2406 steps, improv/step: 0.313 (last = 0.0000), fitness=1.467847551
1464.15 secs, 2485 evals, 2414 steps, improv/step: 0.314 (last = 0.3750), fitness=1.467847551
1471.62 secs, 2487 evals, 2416 steps, improv/step: 0.314 (last = 0.5000), fitness=1.467847551
1478.79 secs, 2491 evals, 2420 steps, improv/step: 0.313 (last = 0.0000), fitness=1.467847551
1485.31 secs, 2492 evals, 2421 steps, improv/step: 0.314 (last = 1.0000), fitness=1.467847551
1492.17 secs, 2495 evals, 2424 steps, improv/step: 0.313 (last = 0.0000), fitness=1.467847551
1498.90 secs, 2496 evals, 2425 steps, improv/step: 0.313 (last = 1.0000), fitness=1.467847551
1505.70 secs, 2500 evals, 2429 steps, improv/step: 0.313 (last = 0.2500), fitness=1.467847551
1512.49 secs, 2505 evals, 2434 steps, improv/step: 0.313 (last = 0.2000), fitness=1.467847551
1521.48 secs, 2506 evals, 2435 steps, improv/step: 0.313 (last = 1.0000), fitness=1.467847551
1529.23 secs, 2510 evals, 2439 steps, improv/step: 0.313 (last = 0.0000), fitness=1.467847551
1535.78 secs, 2511 evals, 2440 steps, improv/step: 0.313 (last = 0.0000), fitness=1.467847551
1542.76 secs, 2513 evals, 2442 steps, improv/step: 0.313 (last = 0.5000), fitness=1.467847551
1551.19 secs, 2516 evals, 2445 steps, improv/step: 0.313 (last = 0.3333), fitness=1.467847551
1559.47 secs, 2517 evals, 2446 steps, improv/step: 0.313 (last = 1.0000), fitness=1.467847551
1566.10 secs, 2519 evals, 2448 steps, improv/step: 0.313 (last = 0.5000), fitness=1.467847551
1573.76 secs, 2521 evals, 2450 steps, improv/step: 0.313 (last = 0.5000), fitness=1.467847551
1582.37 secs, 2522 evals, 2451 steps, improv/step: 0.313 (last = 0.0000), fitness=1.467847551
1590.92 secs, 2523 evals, 2452 steps, improv/step: 0.313 (last = 0.0000), fitness=1.467847551
1599.66 secs, 2530 evals, 2459 steps, improv/step: 0.312 (last = 0.0000), fitness=1.467847551
1606.75 secs, 2531 evals, 2460 steps, improv/step: 0.313 (last = 1.0000), fitness=1.467847551
1614.06 secs, 2536 evals, 2465 steps, improv/step: 0.312 (last = 0.0000), fitness=1.467847551
1621.51 secs, 2538 evals, 2467 steps, improv/step: 0.312 (last = 0.5000), fitness=1.467847551
1628.60 secs, 2540 evals, 2469 steps, improv/step: 0.312 (last = 0.0000), fitness=1.467847551
1638.21 secs, 2544 evals, 2473 steps, improv/step: 0.312 (last = 0.2500), fitness=1.467847551
1646.61 secs, 2546 evals, 2475 steps, improv/step: 0.312 (last = 0.0000), fitness=1.467847551
1655.63 secs, 2548 evals, 2477 steps, improv/step: 0.312 (last = 0.5000), fitness=1.467847551
1664.14 secs, 2553 evals, 2482 steps, improv/step: 0.311 (last = 0.0000), fitness=1.467847551
1673.66 secs, 2554 evals, 2483 steps, improv/step: 0.311 (last = 1.0000), fitness=1.467847551
1683.00 secs, 2555 evals, 2484 steps, improv/step: 0.312 (last = 1.0000), fitness=1.467847551
1691.58 secs, 2558 evals, 2487 steps, improv/step: 0.311 (last = 0.0000), fitness=1.467847551
1700.49 secs, 2560 evals, 2489 steps, improv/step: 0.311 (last = 0.5000), fitness=1.467847551
1707.22 secs, 2562 evals, 2491 steps, improv/step: 0.311 (last = 0.0000), fitness=1.467847551
1715.70 secs, 2564 evals, 2493 steps, improv/step: 0.311 (last = 0.5000), fitness=1.467847551
1723.32 secs, 2569 evals, 2498 steps, improv/step: 0.311 (last = 0.0000), fitness=1.467847551
1732.89 secs, 2573 evals, 2502 steps, improv/step: 0.310 (last = 0.0000), fitness=1.467847551
1744.91 secs, 2575 evals, 2504 steps, improv/step: 0.311 (last = 1.0000), fitness=1.467847551
1751.69 secs, 2579 evals, 2508 steps, improv/step: 0.311 (last = 0.2500), fitness=1.467847551
1759.24 secs, 2580 evals, 2509 steps, improv/step: 0.310 (last = 0.0000), fitness=1.467847551
1767.02 secs, 2581 evals, 2510 steps, improv/step: 0.310 (last = 0.0000), fitness=1.467847551
1778.99 secs, 2583 evals, 2512 steps, improv/step: 0.311 (last = 0.5000), fitness=1.467847551
1786.46 secs, 2585 evals, 2514 steps, improv/step: 0.310 (last = 0.0000), fitness=1.467847551
1793.70 secs, 2586 evals, 2515 steps, improv/step: 0.310 (last = 0.0000), fitness=1.467847551
1801.01 secs, 2590 evals, 2519 steps, improv/step: 0.310 (last = 0.2500), fitness=1.467847551
1809.72 secs, 2592 evals, 2521 steps, improv/step: 0.310 (last = 0.0000), fitness=1.467847551
1818.18 secs, 2593 evals, 2522 steps, improv/step: 0.310 (last = 0.0000), fitness=1.467847551
1825.25 secs, 2594 evals, 2523 steps, improv/step: 0.310 (last = 0.0000), fitness=1.467847551
1832.90 secs, 2599 evals, 2528 steps, improv/step: 0.309 (last = 0.2000), fitness=1.467847551
1840.82 secs, 2603 evals, 2532 steps, improv/step: 0.310 (last = 0.5000), fitness=1.467847551
1849.05 secs, 2605 evals, 2534 steps, improv/step: 0.309 (last = 0.0000), fitness=1.467847551
1856.82 secs, 2609 evals, 2538 steps, improv/step: 0.309 (last = 0.2500), fitness=1.467847551
1863.60 secs, 2612 evals, 2541 steps, improv/step: 0.309 (last = 0.3333), fitness=1.467847551
1870.94 secs, 2617 evals, 2546 steps, improv/step: 0.310 (last = 0.4000), fitness=1.467847551
1877.98 secs, 2618 evals, 2547 steps, improv/step: 0.309 (last = 0.0000), fitness=1.467847551
1885.05 secs, 2621 evals, 2550 steps, improv/step: 0.309 (last = 0.3333), fitness=1.467847551
1891.87 secs, 2629 evals, 2558 steps, improv/step: 0.309 (last = 0.1250), fitness=1.467847551
1899.33 secs, 2633 evals, 2562 steps, improv/step: 0.309 (last = 0.2500), fitness=1.467847551
1908.88 secs, 2634 evals, 2563 steps, improv/step: 0.309 (last = 1.0000), fitness=1.467847551
1916.00 secs, 2639 evals, 2568 steps, improv/step: 0.309 (last = 0.2000), fitness=1.467847551
1923.67 secs, 2640 evals, 2569 steps, improv/step: 0.309 (last = 0.0000), fitness=1.467847551
1930.58 secs, 2643 evals, 2572 steps, improv/step: 0.309 (last = 0.3333), fitness=1.467847551
1937.39 secs, 2645 evals, 2574 steps, improv/step: 0.309 (last = 0.5000), fitness=1.467847551
1945.14 secs, 2650 evals, 2579 steps, improv/step: 0.309 (last = 0.2000), fitness=1.467847551
1953.49 secs, 2654 evals, 2583 steps, improv/step: 0.309 (last = 0.2500), fitness=1.467847551
1960.50 secs, 2655 evals, 2584 steps, improv/step: 0.309 (last = 1.0000), fitness=1.467847551
1967.57 secs, 2656 evals, 2585 steps, improv/step: 0.309 (last = 1.0000), fitness=1.467847551
1974.66 secs, 2658 evals, 2587 steps, improv/step: 0.309 (last = 0.5000), fitness=1.467847551
1982.61 secs, 2659 evals, 2588 steps, improv/step: 0.309 (last = 0.0000), fitness=1.467847551
1990.87 secs, 2666 evals, 2595 steps, improv/step: 0.309 (last = 0.1429), fitness=1.467847551
1999.97 secs, 2667 evals, 2596 steps, improv/step: 0.309 (last = 1.0000), fitness=1.467847551
2007.36 secs, 2668 evals, 2597 steps, improv/step: 0.309 (last = 0.0000), fitness=1.467847551
2014.46 secs, 2671 evals, 2600 steps, improv/step: 0.309 (last = 0.3333), fitness=1.467847551
2022.80 secs, 2674 evals, 2603 steps, improv/step: 0.308 (last = 0.0000), fitness=1.467847551
2030.18 secs, 2676 evals, 2605 steps, improv/step: 0.308 (last = 0.0000), fitness=1.467847551
2037.18 secs, 2681 evals, 2610 steps, improv/step: 0.308 (last = 0.4000), fitness=1.467847551
2047.06 secs, 2685 evals, 2614 steps, improv/step: 0.308 (last = 0.0000), fitness=1.467847551
