cyclone_name,type,year,reef_name,reef_id,year_before,year_after,cover_before,cover_after
Yasi,s,2011.0,Little Kelso Reef,18031100104,2010,2012,0.11936577767802137,0.1131190190037172
unknown,m,2017.0849315068492,Little Kelso Reef,18031100104,2016,2018,0.371977092187535,0.24264701921118415
unknown,c,2020.0,Little Kelso Reef,18031100104,2018,2020,0.24264701921118415,0.12677725650237157
Ita,s,2015.0,Lizard Isles,14116101104,2013,2015,0.13098624616271615,0.07858475700890724
unknown,m,2016.0849315068492,Lizard Isles,14116101104,2015,2017,0.07858475700890724,0.0670210550132364
unknown,c,2015.0,Macgillivray Reef,14114100104,2013,2015,0.33980296837764706,0.08340827460446193
unknown,m,2016.08,Macgillivray Reef,14114100104,2015,2017,0.08340827460446193,0.07072685022457248
unknown,c,2015.0,Mackay Reef,16015100104,2013,2015,0.3225944061459304,0.15980745555214854
unknown,c,2013.0,Martin Reef,14123100104,2013,2015,0.26562426473717715,0.1859947408149895
unknown,m,2016.0849315068492,Martin Reef,14123100104,2015,2017,0.1859947408149895,0.10636521689280184
Yasi,s,2011.0876712328768,Michaelmas Cay,16060100104,2009,2013,0.14212940912866578,0.09649677084036773
unknown,c,2017.0,Michaelmas Cay,16060100104,2017,2019,0.12914696899278238,0.10139287733221743
Yasi,s,2011.0876712328768,Moore Reef,16071100104,2010,2012,0.1481505241200083,0.13941959484805527
Yasi,s,2011.0876712328768,Myrmidon Reef,18034100104,2007,2011,0.13904809491459838,0.08179327769808709
Ita,s,2014.2739726027398,No Name Reef,14139100104,2013,2015,0.16109242059620085,0.15058371741968404
unknown,m,2016.0849315068492,No Name Reef,14139100104,2015,2017,0.15058371741968404,0.09629845971251703
Hamish,s,2009.18,North Island,23045101104,2008,2010,0.4466788275228584,0.19015549585384023
unknown,c,2011.0,North Direction Island,14143100104,2010,2011,0.3630041802626798,0.2878943437666236
Ita,s,2014.27,North Direction Island,14143100104,2013,2015,0.2902749538390041,0.06659947974468172
Nathan,s,2015.0,North Direction Island,14143100104,2015,2017,0.06659947974468172,0.05486270734246097
unknown,m,2008.0,One Tree Island,23055101104,2007,2009,0.367645965844693,0.2297520761024128
Hamish,s,2009.1835616438357,One Tree Island,23055101104,2009,2011,0.2297520761024128,0.16114092976868985
Yasi,s,2011.0876712328768,Peart Reef,17024100104,2010,2012,0.16500529315050141,0.12929037092137463
unknown,c,2016.0,Peart Reef,17024100104,2014,2016,0.17493867365456012,0.1884818433122367
unknown,c,2018.0,Peart Reef,17024100104,2016,2018,0.1884818433122367,0.08048818761735212
unknown,c,2015.0,Pickersgill Reef,15093100104,2011,2015,0.23097919879734988,0.19151275130282897
Hamish,s,2009.1808219178083,Pompey Reef No.1,20351101104,2006,2010,0.2568453628980959,0.19601229688370253
Marcia,s,2015.1342465753426,Pompey Reef No.1,20351101104,2014,2018,0.276911258761156,0.1908287770191459
Hamish,s,2009.1808219178083,Pompey Reef No.2,20351102104,2006,2010,0.2933499657605822,0.14817147321381524
Marcia,s,2015.1342465753426,Pompey Reef No.2,20351102104,2014,2018,0.15802072387376018,0.1084260038656378
Hamish,s,2009.0,Rebe Reef,19209100104,2005,2009,0.2816516084276388,0.18243442124352025
