# Raw per-reef, per-year manta tow cover, cached from ReefMonitoring.get_manta_tow -
# read by 03_a_create_cover_manta_csv.jl and base/generate_clean_growth_intervals.jl
# instead of each hitting the API independently. Delete this file and re-run to force
# a fresh pull (e.g. after a new manta tow survey has landed).
# Generated: 2026-07-30T14:42:55.845
reef_name,report_year,mean
Helsdon Reef,2025,0.18674120148240927
Horseshoe Reef,1986,0.28227454179181866
Horseshoe Reef,1991,0.26103336175580005
Horseshoe Reef,1993,0.209709202085755
Horseshoe Reef,1995,0.3133106956997557
Horseshoe Reef,1996,0.23526051341644824
Horseshoe Reef,1997,0.2538075529129247
Horseshoe Reef,1998,0.2713395107626062
Horseshoe Reef,1999,0.18935355998902983
Horseshoe Reef,2000,0.19263947894609607
Horseshoe Reef,2001,0.15814004227005182
Horseshoe Reef,2002,0.15618366049413412
Horseshoe Reef,2003,0.10740730435759999
Horseshoe Reef,2004,0.10134259681289329
Horseshoe Reef,2005,0.09957237269896249
Horseshoe Reef,2006,0.09294694509177993
Horseshoe Reef,2007,0.10092869254938823
Horseshoe Reef,2009,0.10637456375822096
Horseshoe Reef,2011,0.13877460726752466
Horseshoe Reef,2013,0.1781973323029098
Horseshoe Reef,2015,0.22037028249312457
Horseshoe Reef,2017,0.2950809504652813
Horseshoe Reef,2019,0.08955409723505024
Horseshoe Reef,2021,0.09008157502672487
Horseshoe Reef,2022,0.11125424309437189
Horseshoe Reef,2023,0.11799826909857251
Horseshoe Reef,2024,0.13644480380051371
Horseshoe Reef,2025,0.13632043912622535
Horseshoe Reef,2026,0.1654259978806842
Hoskyn Island,1987,0.7504885434819636
Hoskyn Island,1988,0.6563645827045403
Hoskyn Island,1990,0.22096408896308875
Hoskyn Island,1992,0.31366437054498386
Hoskyn Island,2006,0.5535659151100655
Hoskyn Island,2008,0.45178965406874944
Hoskyn Island,2010,0.17671624764846494
Hoskyn Island,2012,0.1821673075938143
Hoskyn Island,2014,0.2335811507236389
Hoskyn Island,2016,0.28598419079507464
Hoskyn Island,2018,0.5295950430932209
Hoskyn Island,2020,0.4686942011402431
Hoskyn Island,2021,0.6266319788582699
Hoskyn Island,2024,0.6189425199336789
Hoskyn Island,2025,0.27750777469772003
Hoskyn Island,2026,0.26961621824226334
Hyde Reef,1986,0.1990278744136512
Hyde Reef,1990,0.31570185542228496
Hyde Reef,1993,0.35865721879289025
Hyde Reef,1994,0.37507986406834154
