cyclone_name,type,year,reef_name,reef_id,year_before,year_after,cover_before_Tabular_Acropora,cover_after_Tabular_Acropora,cover_before_Corymbose_Acropora,cover_after_Corymbose_Acropora,cover_before_Corymbose_non_Acropora,cover_after_Corymbose_non_Acropora,cover_before_Small_Massives,cover_after_Small_Massives,cover_before_Large_Massives,cover_after_Large_Massives
Hamish,s,2009.1808219178083,Lady Musgrave Island,23082101104,2009,2010,0.0397518317868632,0.001578196977988418,0.04454611318412469,0.004417611984997953,0.0011443945460837175,0.0,0.00645381113701589,0.00250895106597874,0.0038182452332185457,0.0008057827925757294
unknown,c,2013.0,Linnet Reef,14126100104,2011,2013,0.07071709210436146,0.0360867756178431,0.11542867063759729,0.0624340342195336,0.07470955737418067,0.058074212564372465,0.15316139291934802,0.1526502698311933,0.05790430036826912,0.04924251926823974
Nathan,s,2015.2109589041097,Linnet Reef,14126100104,2013,2015,0.0360867756178431,0.0,0.0624340342195336,0.0011604650059777709,0.058074212564372465,0.001496316645205251,0.1526502698311933,0.012933705578602748,0.04924251926823974,0.016069401586810698
Yasi,s,2011.0,Little Kelso Reef,18031100104,2010,2012,0.03287563082458328,0.009048336732076135,0.06014372953493782,0.035044776330519285,0.016754487862381512,0.009335887395990982,0.024421017623630654,0.020700219464901033,0.01484313180609473,0.015675884624038957
unknown,c,2015.0,Macgillivray Reef,14114100104,2013,2015,0.007230205806275602,0.000710614026739763,0.007230205806275602,0.000710614026739763,0.018162155429670108,0.004706445867571494,0.04461238635468564,0.018165321690895065,0.1567897469561774,0.06730705066189681
unknown,m,2016.08,Macgillivray Reef,14114100104,2015,2017,0.000710614026739763,0.0010505052849277758,0.000710614026739763,0.0010505052849277758,0.004706445867571494,0.002451463985100202,0.018165321690895065,0.02085809707630432,0.06730705066189681,0.07436250323118931
unknown,c,2015.0,Mackay Reef,16015100104,2013,2015,0.011734740094293919,0.0005676567727861246,0.030997106702134763,0.02767399070662022,0.036949826094934385,0.011273461180535958,0.13536235540905142,0.060900177290521836,0.022422789991462265,0.013264191682171788
unknown,c,2013.0,Martin Reef,14123100104,2013,2015,0.02771616980177242,0.0005548730666597317,0.02771616980177242,0.0005548730666597317,0.05729424849827031,0.0011410422455175795,0.049944490498237015,0.00842050467374134,0.09144592351612948,0.05826261414238856
unknown,m,2016.0849315068492,Martin Reef,14123100104,2015,2017,0.0005548730666597317,0.00026255849984608784,0.0005548730666597317,0.00026255849984608784,0.0011410422455175795,0.0008104524315635783,0.00842050467374134,0.005164805171189483,0.05826261414238856,0.035857596347154595
Yasi,s,2011.0876712328768,Michaelmas Cay,16060100104,2009,2011,0.04437359834752152,0.010611252359174263,0.057887318068206774,0.01973593163193317,0.03898037090828711,0.024711450388560156,0.04188951988043694,0.03760573196101293,0.01594092851529599,0.020140996627222626
